,Country,badteeth,literacy_avg,water_avg,GDP_avg,sugar_avg,health_avg
20,Colombia,2.3,86.2913581632391,91.0,1940.4110691670578,137.05227272727268,140.43529635333334
21,Costa Rica,2.3,93.74861453546545,94.8,2896.821662486177,156.3497727272727,197.42943032777777
22,Croatia,3.5,97.42411317691025,99.0,4631.58157014117,132.98307692307694,317.0465085366667
23,Cuba,1.4,98.8228623906523,93.4,2665.6099404161414,156.53863636363636,138.6235371188889
24,Cyprus,1.14,95.58305055445769,100.0,9424.547895650001,90.16113636363637,334.5339325488889
25,Ecuador,3.0,87.61182487990466,84.4,1172.3083798652656,100.74727272727272,33.88916029777778
26,Egypt,1.18,46.06925152192624,98.0,894.1589401700759,66.12727272727274,25.583437506666662
27,El Salvador,1.4,74.14316181646291,81.2,1828.040210796929,92.65181818181821,70.51640641333333
28,Estonia,2.7,99.74681833436125,99.0,3774.7153504478347,112.75076923076925,194.86478544
29,Ethiopia,1.55,27.011355310038,19.8,124.94910626676942,9.091818181818184,2.385559898888889
30,Gabon,4.4,72.2336718882752,80.4,4317.338429938204,38.48204545454542,50.3855033111111
31,Gambia,2.3,36.8177265898848,74.8,578.521509706763,64.19818181818181,6.402174062222222
32,Georgia,2.4,99.6523489544112,89.2,1304.7703684853213,64.48846153846154,7.938245582222223
33,Ghana,0.4,57.8974728677536,66.0,250.3438871313122,15.256818181818186,9.732147172222222
34,Greece,2.2,93.03904479536413,99.4,8351.762378426749,77.95704545454547,632.2193028377777
35,Guatemala,5.2,66.65668457651856,86.6,1416.526250000064,97.75818181818182,32.653191068888894
36,Guinea-Bissau,0.5,30.658007996580853,55.0,172.19590477852023,8.469090909090907,4.0254921277777775
37,Guyana,1.3,,89.2,766.3138821203472,112.82795454545453,40.189053675555556
38,Haiti,0.65,46.7392979026827,57.6,429.87560939218133,61.144772727272716,7.292715226666668
39,Honduras,3.7,80.0110317619977,83.6,1000.1351714834632,89.97409090909092,33.36604494555556
40,Hungary,3.3,98.92051263248524,100.0,3314.565760395483,114.57159090909089,291.10719312222227
41,India,3.94,50.000073810756625,81.2,274.1916934763915,56.66363636363635,4.771109974444445
42,Indonesia,2.2,74.41626217626344,77.0,449.46237231849506,36.30499999999998,6.872287603333333
43,Israel,1.66,91.7514084779236,100.0,12902.599716876926,110.0259090909091,918.3990553788889
44,Italy,1.1,97.43858236886469,100.0,13031.960607693421,82.00318181818182,1212.609469581111
45,Jamaica,1.1,79.9201232980103,91.0,3169.910540608358,133.75136363636364,85.64513440444443
46,Jordan,3.3,78.34456625706301,99.4,1752.8461767970455,97.0109090909091,85.73582791
47,Kazakhstan,2.1,98.5210207887704,87.0,1247.3484404269213,60.0623076923077,34.43786625
48,Kenya,1.35,82.2290753144124,48.0,378.3182299878602,49.940454545454536,7.873519242222222
49,Kuwait,2.6,69.99210536710521,100.0,20102.283588396298,103.36272727272727,506.4581859022221
50,Latvia,3.4,99.59943514419314,98.0,2912.917477483542,97.36538461538463,107.54709008444443
51,Lebanon,3.4,,86.2,4290.767546895289,85.92659090909092,148.285337
52,Lesotho,0.4,86.25443487075519,67.0,263.45670370663214,43.65204545454541,15.19721848111111
53,Liberia,0.4,37.78381308232855,62.8,494.69687202808706,12.143181818181814,2.248664536666667
54,Lithuania,3.6,99.04351048551484,91.2,3199.4719756648747,94.20384615384614,149.54520300888893
55,Madagascar,3.1,70.68616958021171,38.2,330.0665937857852,25.65636363636363,5.815686375555554
56,Malawi,0.7,56.33545243179665,54.0,137.2648383583373,24.037272727272736,4.415998675555556
57,Malaysia,1.6,80.37315363362337,98.0,2120.615848621083,98.56772727272728,79.18908302
58,Maldives,2.1,92.64025074000745,91.0,2101.562440573251,85.98863636363636,80.76600241222222
59,Mali,2.2,17.492926224161927,52.6,192.25587104198522,17.56090909090909,6.871991271111111
60,Malta,1.6,87.92543505827174,100.0,5970.08600072241,139.16954545454544,496.9640108366667
61,Mauritania,2.0,51.20767798285271,56.0,512.2233120531498,65.13159090909093,14.73469586
62,Mauritius,4.9,82.08587438410105,99.0,2539.9245671094814,120.55,76.15992897555556
63,Mexico,2.0,87.83891839417332,90.6,4344.527876462837,116.93818181818183,128.80122931
64,Mongolia,1.9,97.7688516976171,67.8,471.30620394555115,41.97000000000002,17.684642333333333
65,Morocco,2.5,35.92595481448015,66.6,983.1062179230236,86.86045454545454,17.153513926666665
66,Mozambique,3.05,37.989498291249,25.2,192.44917852073925,20.176363636363646,7.960220916666667
67,Namibia,1.2,80.42893257620824,77.2,2015.6881123197502,85.55272727272728,87.02176665777777
68,Nepal,0.5,34.05274367766843,80.8,164.98548753715528,5.915909090909093,2.5693406511111108
